name,screen_name,female,age,term,party,government,constituency,region,country,constituency_type,electorate,turnout,majority
Aaron Bell,AaronBell4NUL,0,41,1,Conservative,1,Newcastle-under-Lyme,West Midlands,England,Borough,68211,65.58912785,16.64319721
Abena Oppong-Asare,abenaopp,1,121,1,Labour,0,Erith and Thamesmead,London,England,Borough,65399,63.27925503,9.080804176
Adam Afriyie,AdamAfriyie,0,56,5,Conservative,1,Windsor,South East,England,County,75038,71.63037394,37.35627907
Adam Holloway,,0,56,5,Conservative,1,Gravesham,South East,England,County,73242,64.93541957,32.7607233
Afzal Khan,Afzal4Gorton,0,61,2,Labour,0,"Manchester, Gorton",North West,England,Borough,76419,58.2904775,68.10865417
Alan Brown,AlanBrownSNP,0,51,3,SNP,0,Kilmarnock and Loudoun,Scotland,Scotland,County,74517,63.9196425,26.57722912
Alan Campbell,alancampbellmp,0,64,7,Labour,0,Tynemouth,North East,England,Borough,77261,72.52559506,8.667951601
Alan Mak,AlanMakMP,0,38,3,Conservative,1,Havant,South East,England,Borough,72103,63.74075975,47.41617529
Alan Whitehead,alanwhiteheadmp,0,71,7,Labour,0,"Southampton, Test",South East,England,Borough,70116,64.17080267,13.8085078
Alberto Costa,AlbertoCostaMP,0,50,3,Conservative,1,South Leicestershire,East Midlands,England,County,80520,71.37232986,41.76860568
Alec Shelbrooke,AlecShelbrooke,0,45,4,Conservative,1,Elmet and Rothwell,Yorkshire and The Humber,England,County,80957,71.92089628,29.80334908
Alex Burghart,alexburghart,0,44,2,Conservative,1,Brentwood and Ongar,East,England,County,75255,70.35944456,54.89244367
Alex Chalk,AlexChalkChelt,0,45,3,Conservative,1,Cheltenham,South West,England,Borough,81044,73.24046197,1.652711559
Alex Cunningham,ACunninghamMP,0,66,4,Labour,0,Stockton North,North East,England,Borough,66649,61.75036385,2.495383419
Alex Davies-Jones,AlexDaviesJones,1,121,1,Labour,0,Pontypridd,Wales,Wales,County,60327,64.74712815,15.07168459
Alex Norris,AlexNorrisNN,0,37,2,Labour,0,Nottingham North,East Midlands,England,Borough,66495,53.1167757,12.71234428
Alex Sobel,alexsobel,0,46,2,Labour,0,Leeds North West,Yorkshire and The Humber,England,Borough,67741,72.75209991,21.81076639
Alexander Stafford,Alex_Stafford,0,34,1,Conservative,1,Rother Valley,Yorkshire and The Humber,England,County,74804,65.10079675,12.97383876
Alicia Kearns,aliciakearns,1,121,1,Conservative,1,Rutland and Melton,East Midlands,England,County,82705,70.50359712,46.17389813
